MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,Month,Humidity,Pressure,Cloud,RainToday_Yes,RainTomorrow_Yes
9.1,25.9,0.0,6.4,12.4,39.0,11,44.5,1012.85,1.0,0,0
13.6,19.5,0.0,7.6,3.2,43.0,11,52.5,1013.75,7.0,0,1
13.6,20.7,9.2,3.8,7.5,50.0,11,64.0,1014.8,5.0,1,1
12.4,19.5,9.0,4.6,3.1,50.0,11,61.0,1010.8,7.5,1,1
9.1,18.9,8.4,4.2,9.0,52.0,11,75.0,1014.45,5.5,1,1
6.5,20.0,2.8,3.6,10.2,35.0,11,52.0,1022.5,3.5,1,0
8.5,24.3,0.0,3.8,12.9,37.0,11,53.0,1019.9,0.5,0,0
11.2,27.1,0.0,6.6,12.9,35.0,11,64.0,1013.45,5.5,0,0
14.2,26.3,0.0,6.2,12.2,44.0,11,57.5,1010.95,6.0,0,0
16.1,22.2,0.0,5.8,0.1,28.0,11,64.0,1011.05,8.0,0,0
12.9,22.5,0.0,4.0,12.3,39.0,11,48.5,1013.9000000000001,4.5,0,0
12.4,23.3,0.0,5.2,11.9,37.0,11,41.5,1017.7,1.5,0,0
11.9,24.4,0.0,7.8,12.5,43.0,11,38.5,1019.25,3.0,0,0
12.4,25.8,0.0,8.4,12.9,46.0,11,38.0,1019.35,3.0,0,0
12.7,25.5,0.0,8.4,7.6,43.0,11,40.0,1016.65,5.0,0,0
13.7,26.8,0.0,8.8,11.4,31.0,11,42.5,1014.0999999999999,4.5,0,0
13.6,25.9,0.0,7.4,12.3,33.0,11,44.5,1012.6500000000001,3.0,0,0
11.0,29.5,0.0,6.6,12.3,31.0,11,41.0,1006.45,1.5,0,1
15.9,23.1,2.6,7.0,9.5,37.0,11,63.0,1004.3,4.5,1,0
11.8,24.4,0.6,6.4,10.0,31.0,11,57.5,1008.1500000000001,3.0,0,0
13.6,23.6,0.2,4.0,6.8,33.0,11,76.5,1004.7,4.5,0,1
14.8,22.2,17.4,3.4,8.6,43.0,11,75.5,1001.7,6.0,1,1
13.9,21.8,1.8,6.2,10.7,41.0,11,61.0,1007.95,4.0,1,1
13.4,23.2,4.0,5.6,10.1,30.0,11,59.0,1010.4,2.0,1,0
12.5,22.2,0.2,4.4,11.3,39.0,11,55.5,1008.95,4.0,0,1
14.5,22.4,1.4,6.6,12.2,44.0,11,56.5,1013.5,2.0,1,0
13.1,23.9,0.2,10.2,12.8,31.0,11,50.5,1019.25,2.0,0,0
11.1,23.4,0.0,4.4,13.1,35.0,11,52.5,1018.05,1.0,0,0
13.1,24.5,0.0,6.2,12.7,43.0,11,48.5,1017.4,1.5,0,0
12.8,27.2,0.0,9.0,13.0,33.0,12,47.0,1014.5,1.5,0,0
12.2,32.7,0.0,9.0,10.4,28.0,12,39.0,1007.0999999999999,4.0,0,0
18.3,23.1,0.4,6.2,7.5,41.0,12,61.5,1003.85,6.0,0,0
17.0,24.2,0.8,5.8,7.8,35.0,12,59.5,1010.6,5.5,0,0
15.0,23.4,0.4,5.2,13.0,39.0,12,52.0,1015.25,3.5,0,0
14.1,27.6,0.0,7.2,13.3,41.0,12,48.0,1015.55,1.0,0,0
12.6,27.6,0.0,8.0,12.9,41.0,12,47.0,1008.8,1.0,0,0
14.7,22.7,0.0,10.2,11.7,43.0,12,50.5,1010.5,4.5,0,0
12.6,22.5,0.0,7.0,11.1,33.0,12,49.0,1011.0999999999999,5.0,0,1
12.7,21.9,3.2,6.4,5.1,37.0,12,75.5,1011.0999999999999,7.0,1,1
12.9,24.2,4.2,3.8,13.1,44.0,12,59.0,1014.25,4.5,1,0
14.0,25.8,0.0,6.8,13.1,39.0,12,55.0,1016.5999999999999,1.0,0,0
15.6,31.5,0.0,6.8,13.3,35.0,12,42.0,1018.1,0.5,0,0
18.8,38.4,0.0,10.0,13.2,37.0,12,31.5,1012.85,0.5,0,0
19.8,26.7,0.0,10.4,8.0,44.0,12,68.0,1010.85,4.5,0,0
17.6,26.2,0.0,8.4,9.4,44.0,12,51.5,1013.6,4.0,0,0
14.5,25.4,0.0,8.0,13.4,46.0,12,48.5,1016.5999999999999,0.5,0,0
15.6,31.6,0.0,9.2,12.9,35.0,12,38.5,1013.7,1.0,0,0
14.2,29.1,0.0,9.2,12.6,35.0,12,55.0,1006.2,0.0,0,0
18.3,23.1,0.6,8.0,9.2,48.0,12,66.5,1006.6,5.5,0,1
16.0,23.6,2.0,9.2,8.7,41.0,12,47.0,1013.5999999999999,6.5,1,0
13.6,28.0,0.0,6.6,13.1,41.0,12,50.0,1012.7,1.0,0,0
14.5,25.2,0.0,8.2,12.7,50.0,12,55.5,1010.8499999999999,3.0,0,0
15.1,27.1,0.0,8.0,12.2,43.0,12,50.0,1011.95,3.5,0,0
14.3,26.6,0.0,9.4,13.2,46.0,12,53.5,1012.0,0.5,0,0
14.7,26.4,0.0,9.2,13.2,41.0,12,53.5,1013.55,0.0,0,0
14.9,28.8,0.0,9.4,13.2,39.0,12,46.0,1012.25,0.0,0,0
17.0,30.8,0.0,8.0,13.2,37.0,12,54.0,1012.95,0.5,0,0
21.5,35.4,0.0,12.8,13.2,44.0,1,30.0,1008.25,0.5,0,0
20.8,32.2,0.0,11.8,12.7,46.0,1,48.5,1011.65,2.5,0,0
18.7,35.0,0.0,11.2,13.3,35.0,1,37.5,1014.9,0.0,0,0
21.9,36.1,0.0,11.4,13.2,46.0,1,31.5,1012.5999999999999,0.0,0,0
19.9,34.6,0.0,12.0,13.2,46.0,1,49.0,1012.1,0.0,0,0
18.8,35.4,0.0,12.0,13.2,39.0,1,38.5,1012.5,1.0,0,0
19.9,35.3,0.0,10.8,13.2,41.0,1,42.0,1012.8499999999999,0.0,0,0
19.3,35.0,0.0,12.6,13.3,44.0,1,43.5,1013.55,0.5,0,0
18.2,34.3,0.0,11.2,13.1,44.0,1,38.0,1011.6500000000001,0.5,0,0
21.1,38.4,0.0,12.0,13.1,35.0,1,30.5,1007.3499999999999,0.0,0,0
16.7,27.3,0.0,11.4,11.3,52.0,1,59.5,1008.0999999999999,3.5,0,0
12.0,25.9,0.2,9.4,11.2,44.0,1,50.0,1016.25,3.5,0,0
15.9,30.1,0.0,9.6,10.2,43.0,1,46.5,1015.9000000000001,5.0,0,0
18.8,39.7,0.0,10.6,13.1,39.0,1,33.5,1014.0999999999999,0.0,0,0
22.7,41.8,0.0,13.8,13.1,43.0,1,18.0,1010.05,0.5,0,0
18.3,30.3,0.0,13.2,7.2,30.0,1,51.0,1014.55,4.5,0,0
20.6,31.1,0.0,8.6,4.8,37.0,1,42.5,1013.4,7.0,0,0
15.9,28.9,0.0,8.0,13.2,43.0,1,51.5,1015.05,1.0,0,0
15.6,27.9,0.0,8.0,13.0,46.0,1,48.0,1016.7,0.5,0,0
16.4,26.9,0.0,10.0,13.0,44.0,1,57.0,1014.65,2.5,0,0
18.6,27.9,0.0,8.6,11.1,37.0,1,63.0,1012.55,4.0,0,0
19.8,27.1,0.0,9.0,10.7,39.0,1,63.5,1012.65,4.0,0,0
15.9,30.2,0.0,7.6,13.0,35.0,1,54.0,1012.55,0.0,0,0
18.1,37.4,0.0,9.6,13.2,37.0,1,28.5,1010.1,0.0,0,0
18.9,29.6,0.0,10.0,13.0,35.0,1,63.0,1007.8,1.0,0,0
17.8,32.7,0.0,8.8,12.6,43.0,1,48.0,1006.05,4.0,0,0
21.6,30.1,0.0,10.4,6.5,39.0,1,61.0,1002.3,5.5,0,0
19.4,26.9,0.0,7.2,0.3,43.0,1,66.0,1007.75,7.5,0,0
17.7,30.7,0.0,4.0,6.4,30.0,1,62.0,1008.5999999999999,7.5,0,0
22.2,35.8,0.4,6.4,13.1,35.0,2,55.0,1010.05,0.5,0,0
22.3,38.6,0.0,10.6,13.1,33.0,2,48.0,1009.35,1.0,0,0
21.2,31.7,0.0,10.2,11.9,31.0,2,63.0,1009.3,1.0,0,0
20.0,30.4,0.0,8.0,13.0,46.0,2,60.5,1011.3499999999999,1.0,0,0
17.1,30.8,0.0,11.2,12.9,46.0,2,50.5,1009.2,0.0,0,0
16.0,25.5,0.0,10.6,12.3,52.0,2,50.0,1008.0999999999999,3.0,0,0
11.4,25.8,0.0,9.0,12.7,44.0,2,47.5,1013.3499999999999,1.0,0,0
15.6,33.2,0.0,9.4,13.0,43.0,2,35.5,1016.1500000000001,0.0,0,0
17.6,34.9,0.0,12.8,12.9,43.0,2,35.0,1016.1500000000001,0.0,0,0
19.8,37.1,0.0,12.6,11.4,39.0,2,30.5,1014.2,1.5,0,0
23.7,39.7,0.0,10.4,12.8,41.0,2,18.0,1010.6,1.0,0,0
20.5,40.1,0.0,11.2,9.4,43.0,2,22.5,1006.95,6.0,0,0
21.5,29.4,0.0,11.8,4.3,41.0,2,54.5,1012.45,5.5,0,0
18.3,28.3,0.0,7.4,1.3,39.0,2,44.0,1008.0,7.0,0,0
16.1,31.3,0.2,3.6,12.0,31.0,2,61.5,1007.0999999999999,0.5,0,0
19.4,26.3,0.0,6.8,11.4,41.0,2,60.0,1010.5999999999999,4.0,0,0
16.3,30.2,0.0,9.0,12.5,44.0,2,48.0,1011.4,1.0,0,0
17.3,30.6,0.0,8.0,12.5,37.0,2,44.5,1011.7,0.5,0,0
16.7,32.4,0.0,11.6,12.4,39.0,2,41.5,1012.4000000000001,0.5,0,0
18.3,36.8,0.0,11.0,12.3,39.0,2,38.0,1013.95,0.5,0,0
21.5,39.8,0.0,14.2,11.0,37.0,2,22.5,1009.75,5.0,0,0
20.7,29.6,0.0,11.8,10.9,44.0,2,52.5,1011.5,3.0,0,0
17.1,34.3,0.0,7.4,11.8,39.0,2,42.5,1011.1,6.0,0,0
19.3,25.3,0.0,7.2,5.7,35.0,2,67.5,1006.75,7.0,0,0
14.2,22.2,0.0,6.0,4.2,39.0,2,85.0,1006.6500000000001,7.5,0,1
10.0,23.5,7.6,3.8,11.3,33.0,2,59.5,1016.15,6.5,1,0
14.4,29.2,0.0,6.4,12.0,39.0,2,52.0,1014.2,1.0,0,0
15.4,36.8,0.0,6.6,9.2,37.0,2,37.5,1007.55,4.5,0,0
21.7,33.0,0.2,8.2,9.7,39.0,3,55.5,1004.1,5.0,0,0
18.1,23.5,0.2,7.4,9.5,54.0,3,55.5,1009.9,5.0,0,0
7.7,26.0,0.0,10.4,11.2,31.0,3,41.5,1024.25,0.0,0,0
13.6,30.7,0.0,6.6,11.7,39.0,3,34.0,1024.8,0.5,0,0
15.8,33.8,0.0,10.0,11.7,35.0,3,33.5,1021.75,0.0,0,0
14.4,33.4,0.0,8.0,11.6,41.0,3,31.5,1017.9000000000001,0.5,0,0
17.0,31.8,0.0,11.6,11.5,43.0,3,42.0,1018.65,0.5,0,0
16.8,34.3,0.0,8.0,11.7,33.0,3,32.5,1014.95,5.0,0,0
14.2,35.3,0.0,10.0,11.6,31.0,3,29.5,1014.85,1.0,0,0
15.5,37.2,0.0,9.0,11.8,28.0,3,28.5,1012.5,1.0,0,0
13.3,30.8,0.0,8.8,4.9,35.0,3,39.0,1012.05,4.5,0,0
19.3,26.6,0.0,5.4,5.3,37.0,3,59.5,1013.6,7.0,0,0
14.0,27.4,0.0,7.0,11.0,44.0,3,50.0,1018.75,0.0,0,0
14.1,31.6,0.0,8.2,10.9,37.0,3,40.0,1018.95,2.0,0,0
16.4,39.8,0.0,12.2,7.1,33.0,3,25.5,1012.2,6.5,0,0
16.2,30.8,0.0,5.4,10.8,30.0,3,53.0,1011.55,0.5,0,0
19.1,24.5,0.0,7.4,2.9,39.0,3,64.5,1013.0999999999999,7.5,0,0
15.6,24.0,0.8,4.0,9.8,33.0,3,61.5,1016.55,3.5,0,0
10.3,25.4,0.0,6.2,11.5,31.0,3,51.5,1014.45,2.0,0,0
14.9,25.0,0.0,8.4,5.8,37.0,3,51.5,1010.75,6.5,0,1
12.1,24.1,2.8,3.2,10.1,28.0,3,58.5,1016.2,3.0,1,0
8.5,23.5,0.0,6.2,10.4,31.0,3,62.5,1015.0,1.0,0,0
13.8,24.7,0.0,4.4,8.0,31.0,3,65.0,1013.65,4.5,0,1
13.6,25.0,2.6,2.8,10.0,28.0,3,63.5,1016.25,3.5,1,0
15.5,25.4,0.2,4.8,10.6,30.0,3,64.5,1018.9,5.0,0,0
15.9,31.3,0.0,7.2,10.7,31.0,3,48.0,1020.1,2.0,0,0
14.8,36.3,0.0,6.8,10.7,31.0,3,47.0,1016.05,0.0,0,0
16.9,27.0,0.0,6.0,10.8,46.0,3,63.0,1018.1,1.0,0,0
16.9,26.1,0.0,7.6,8.4,37.0,3,46.0,1019.3,5.0,0,0
17.4,25.3,0.0,6.2,8.9,44.0,3,61.0,1014.0,4.0,0,0
14.8,25.4,0.0,5.0,8.1,44.0,3,60.5,1016.1500000000001,4.0,0,0
11.8,23.4,0.0,4.0,9.5,41.0,4,47.5,1021.75,2.0,0,0
9.5,24.6,0.0,5.8,10.1,37.0,4,48.5,1023.85,3.0,0,0
13.5,28.3,0.0,5.6,10.8,35.0,4,43.5,1026.05,0.5,0,0
14.5,29.7,0.0,6.4,10.3,30.0,4,36.0,1026.15,3.0,0,0
14.4,28.0,0.0,7.0,10.8,33.0,4,40.0,1025.8,0.5,0,0
14.6,29.2,0.0,8.4,10.9,37.0,4,37.0,1022.4000000000001,1.0,0,0
16.0,32.0,0.0,7.4,10.4,37.0,4,30.0,1019.9,0.5,0,0
13.0,34.0,0.0,7.4,10.0,33.0,4,21.0,1017.45,6.0,0,0
14.4,33.5,0.0,7.2,9.7,30.0,4,25.5,1016.0,2.0,0,0
17.0,35.5,0.0,7.8,10.5,33.0,4,34.0,1013.2,1.5,0,0
13.8,28.8,0.0,5.6,10.0,22.0,4,66.0,1012.8,6.0,0,0
15.6,34.3,0.0,6.8,10.6,46.0,4,14.5,1013.85,1.0,0,0
20.9,24.8,0.0,12.2,0.1,41.0,4,62.5,1012.95,7.5,0,1
15.1,27.8,4.8,3.8,8.0,37.0,4,61.0,1014.75,3.0,1,0
13.4,24.9,0.0,4.8,10.5,33.0,4,52.5,1016.65,0.5,0,0
11.3,27.3,0.0,6.0,10.6,28.0,4,47.5,1014.1500000000001,0.5,0,0
12.8,29.4,0.0,4.6,8.3,24.0,4,46.0,1012.55,2.0,0,0
15.5,25.5,0.0,5.2,1.8,30.0,4,57.5,1013.8,7.0,0,0
13.3,29.7,0.0,2.4,10.5,28.0,4,54.5,1013.55,0.5,0,0
14.9,27.3,0.0,4.6,10.7,24.0,4,65.0,1012.3499999999999,0.5,0,0
13.4,30.1,0.0,4.0,10.5,31.0,4,43.5,1007.55,1.0,0,0
15.3,20.9,0.0,5.0,8.4,46.0,4,54.5,1013.05,2.5,0,0
6.0,20.8,0.2,4.2,7.3,33.0,4,53.0,1023.6500000000001,4.0,0,0
11.6,22.7,0.0,4.4,6.2,30.0,4,71.5,1023.45,5.0,0,0
13.9,22.3,0.0,2.8,7.2,24.0,4,62.0,1022.9499999999999,3.5,0,0
9.6,26.1,0.0,3.2,9.4,28.0,4,63.5,1021.65,3.5,0,0
11.4,28.5,0.0,3.2,9.3,26.0,4,45.5,1019.05,1.5,0,0
13.3,28.5,0.0,5.0,10.1,31.0,4,48.0,1022.25,0.0,0,0
14.2,25.7,0.0,6.2,3.8,30.0,4,51.5,1019.75,6.5,0,0
10.0,22.9,0.0,4.2,9.3,33.0,4,60.0,1023.6999999999999,0.5,0,0
11.3,25.0,0.0,4.6,9.8,28.0,5,46.0,1026.5500000000002,0.0,0,0
9.9,28.1,0.0,6.2,9.9,24.0,5,34.5,1025.25,0.5,0,0
8.7,27.7,0.0,4.2,7.0,22.0,5,39.5,1024.8,6.5,0,0
9.1,28.4,0.0,4.4,9.9,24.0,5,31.0,1024.65,0.5,0,0
8.7,28.5,0.0,4.0,10.0,24.0,5,31.0,1027.1,0.0,0,0
9.5,27.4,0.0,6.8,10.0,30.0,5,32.0,1028.0,1.5,0,0
8.4,26.6,0.0,3.4,9.9,26.0,5,36.5,1027.1,0.0,0,0
7.6,25.6,0.0,4.2,9.8,26.0,5,37.5,1026.5,1.0,0,0
6.5,26.3,0.0,4.8,9.7,28.0,5,39.5,1022.9,1.0,0,0
8.2,23.4,0.0,3.6,1.2,20.0,5,43.0,1019.5,7.0,0,0
11.4,26.0,0.0,2.2,9.5,33.0,5,53.0,1020.5,1.0,0,0
13.5,25.0,0.0,5.4,9.5,30.0,5,46.0,1024.8,1.0,0,0
11.9,24.7,0.0,4.8,9.4,30.0,5,54.5,1025.0,1.5,0,0
9.0,24.5,0.0,4.4,9.5,20.0,5,45.0,1023.5500000000001,0.5,0,0
6.3,25.3,0.0,3.0,9.6,24.0,5,42.5,1021.5999999999999,0.5,0,0
5.1,24.9,0.0,3.4,9.5,22.0,5,38.5,1020.1,1.0,0,0
6.4,26.4,0.0,4.4,9.2,24.0,5,33.5,1016.05,1.5,0,0
5.9,23.0,0.0,4.2,8.9,22.0,5,58.5,1014.15,1.5,0,0
